Drug,tdc-lipophilicity_astrazeneca,tdc-solubility_aqsoldb,tdc-hydrationfreeenergy_freesolv,tdc-caco2_wang,tdc-vdss_lombardo,tdc-b3db_regression,tdc-ppbr_az,tdc-half_life_obach,tdc-clearance_hepatocyte_az,tdc-clearance_microsome_az
Clc1ccc(-c2ccc(Cl)c(Cl)c2)c(Cl)c1,,-6.8995,,,,,,,,
Clc1ccc(-c2ccc(Cl)c(Cl)c2)cc1,,-6.5541,,,,,,,,
Clc1ccc(-c2ccc(Cl)c(Cl)c2)cc1Cl,,-8.53,,,,,,,,
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1,,-7.62,,,,,,,,
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl,,-7.9823,,,,,,,,
Clc1ccc(-c2ccc(Cl)cc2Cl)c(Cl)c1,,-6.51,,,,,,,,
Clc1ccc(-c2cccc(Cl)c2Cl)c(Cl)c1,,-6.6813,,,,,,,,
Clc1ccc(-c2cccc(Cl)c2Cl)cc1,,-6.29,,,,,,,,
Clc1ccc(-c2ccccc2)cc1Cl,,-6.3899,,,,,,,,
Clc1ccc(-c2ccccc2Cl)cc1,,-5.2803,,,,,,,,
Clc1ccc(-c2ccccc2Cl)cc1Cl,,-6.287000000000001,,,,,,,,
Clc1ccc(Br)cc1,,-3.6298,,,,,,,,
Clc1ccc(Br)cc1Cl,,-1.0114935501,,,,,,,,
Clc1ccc(C(Cn2ccnc2)OCc2cc(Cl)ccc2Cl)c(Cl)c1,,-3.54,,,,,,,,
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,,-7.8092,,,,,,,,
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,,-7.2,,,,,,,,
Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,,-6.5052,,,,,,,,
Clc1ccc(C2(Cn3cncn3)OCCO2)c(Cl)c1,,-3.0031,,,,,,,,
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,,-5.08,,,,,,,,
Clc1ccc(CSC(Cn2cncn2)=Nc2ccc(Cl)cc2Cl)cc1,,-5.3842,,,,,,,,
Clc1ccc(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1,,-8.46,,,,,,,,
Clc1ccc(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1,,-7.4254,,,,,,,,
Clc1ccc(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,,-7.94,,,,,,,,
Clc1ccc(Cl)c(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c1,,-8.01,,,,,,,,
Clc1ccc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c1,,-7.1895,,,,,,,,
Clc1ccc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c1Cl,,-7.9032,,,,,,,,
Clc1ccc(Cl)c(-c2c(Cl)cccc2Cl)c1,,-6.8,,,,,,,,
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2)c1,,-7.3149,-3.61,,,,,,,
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1,,-7.6794,,,,,,,,
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1,,-7.3263,,,,,,,,
Clc1ccc(Cl)c(-c2cc(Cl)cc(Cl)c2Cl)c1,,-7.8201,,,,,,,,
Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,,-6.8526,,,,,,,,
Clc1ccc(Cl)c(-c2cccc(Cl)c2Cl)c1,,-6.4654,,,,,,,,
Clc1ccc(Cl)c(-c2ccccc2)c1,,-5.2993,,,,,,,,
Clc1ccc(Cl)c(-c2ccccc2)c1Cl,,-6.29,,,,,,,,
Clc1ccc(Cl)c(-c2ccccc2Cl)c1,,-6.02,,,,,,,,
Clc1ccc(Cl)c(Cl)c1,,-3.7024520783,-1.12,,,,,,,
Clc1ccc(Cl)c(Oc2cc(Cl)c(Cl)cc2Cl)c1,,-7.56,,,,,,,,
Clc1ccc(Cl)c(Oc2ccc(Cl)c(Cl)c2)c1,,-7.07,,,,,,,,
Clc1ccc(Cl)c(Oc2ccc(Cl)c(Cl)c2Cl)c1,,-7.7,,,,,,,,
Clc1ccc(Cl)c(Oc2ccccc2)c1,,-4.9703,,,,,,,,
Clc1ccc(Cl)c2ccccc12,,-5.3576,,,,,,,,
Clc1ccc(Cl)cc1,,-3.35,-1.01,,,,,,,
Clc1ccc(I)cc1,,-4.03,,,,,,,,
Clc1ccc(N2N=NC3C4CC(C5N=NC45)C32)cc1,,-4.87,,,,,,,,
Clc1ccc(N=Nc2ccccc2)cc1,,-5.7023,,,,,,,,
Clc1ccc(Oc2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1,,-9.64,,,,,,,,
Clc1ccc(Oc2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,,-10.6,,,,,,,,
Clc1ccc(Oc2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc1,,-8.94,,,,,,,,
Clc1ccc(Oc2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,,-9.46,,,,,,,,
Clc1ccc(Oc2c(Cl)c(Cl)cc(Cl)c2Cl)c(Cl)c1,,-8.42,,,,,,,,
Clc1ccc(Oc2c(Cl)c(Cl)cc(Cl)c2Cl)c(Cl)c1Cl,,-9.09,,,,,,,,
Clc1ccc(Oc2c(Cl)c(Cl)cc(Cl)c2Cl)cc1,,-7.76,,,,,,,,
Clc1ccc(Oc2c(Cl)c(Cl)cc(Cl)c2Cl)cc1Cl,,-8.3,,,,,,,,
Clc1ccc(Oc2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1,,-8.47,,,,,,,,
Clc1ccc(Oc2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,,-7.24,,,,,,,,
Clc1ccc(Oc2c(Cl)ccc(Cl)c2Cl)c(Cl)c1Cl,,-7.96,,,,,,,,
Clc1ccc(Oc2c(Cl)ccc(Cl)c2Cl)cc1,,-6.64,,,,,,,,
Clc1ccc(Oc2c(Cl)cccc2Cl)c(Cl)c1Cl,,-7.23,,,,,,,,
Clc1ccc(Oc2c(Cl)cccc2Cl)cc1,,-5.91,,,,,,,,
Clc1ccc(Oc2cc(Cl)c(Cl)c(Cl)c2)cc1,,-7.35,,,,,,,,
Clc1ccc(Oc2cc(Cl)c(Cl)c(Cl)c2Cl)cc1,,-8.06,,,,,,,,
Clc1ccc(Oc2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,,-8.78,,,,,,,,
Clc1ccc(Oc2cc(Cl)c(Cl)cc2Cl)c(Cl)c1,,-7.61,,,,,,,,
Clc1ccc(Oc2cc(Cl)c(Cl)cc2Cl)cc1,,-7.04,,,,,,,,
Clc1ccc(Oc2cc(Cl)c(Cl)cc2Cl)cc1Cl,,-7.83,,,,,,,,
Clc1ccc(Oc2cc(Cl)cc(Cl)c2)cc1,,-5.5201,,,,,,,,
Clc1ccc(Oc2cc(Cl)cc(Cl)c2Cl)c(Cl)c1,,-7.64,,,,,,,,
Clc1ccc(Oc2cc(Cl)ccc2Cl)c(Cl)c1,,-6.77,,,,,,,,
Clc1ccc(Oc2ccc(Cl)c(Cl)c2)c(Cl)c1,,-7.0,,,,,,,,
Clc1ccc(Oc2ccc(Cl)c(Cl)c2Cl)c(Cl)c1,,-7.44,,,,,,,,
Clc1ccc(Oc2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,,-8.14,,,,,,,,
Clc1ccc(Oc2ccc(Cl)c(Cl)c2Cl)cc1,,-7.01,,,,,,,,
Clc1ccc(Oc2ccc(Cl)c(Cl)c2Cl)cc1Cl,,-7.67,,,,,,,,
Clc1ccc(Oc2ccc(Cl)cc2)cc1,,-4.7999,,,,,,,,
Clc1ccc(Oc2ccc(Cl)cc2Cl)c(Cl)c1,,-6.82,,,,,,,,
Clc1ccc(Oc2ccc(Cl)cc2Cl)cc1,,-6.2196,,,,,,,,
Clc1ccc(Oc2cccc(Cl)c2)cc1,,-5.3873553168,,,,,,,,
Clc1ccc(Oc2cccc(Cl)c2Cl)c(Cl)c1,,-6.65,,,,,,,,
Clc1ccc(Oc2cccc(Cl)c2Cl)cc1Cl,,-6.9,,,,,,,,
Clc1ccc(Oc2ccccc2)cc1,,-4.7925,,,,,,,,
Clc1ccc(Oc2ccccc2)cc1Cl,,-4.7206,,,,,,,,
Clc1ccc(Oc2ccccc2Cl)cc1,,-5.52,,,,,,,,
Clc1ccc(Oc2ccccc2Cl)cc1Cl,,-5.199,,,,,,,,
Clc1ccc(Sc2cc(Cl)c(Cl)cc2Cl)cc1,,-7.0335,,,,,,,,
Clc1ccc2c(Cl)ccnc2c1,,-2.8026246384,,,,,,,,
Clc1ccc2c(c1)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,,-9.4728,-4.15,,,,,,,
Clc1ccc2c(c1)Oc1cc(Cl)c(Cl)c(Cl)c1O2,,-8.8744,,,,,,,,
Clc1ccc2c(c1)Oc1cc(Cl)ccc1O2,,-7.1806,,,,,,,,
Clc1ccc2c(c1)Oc1ccc(Cl)cc1O2,,-7.8292,-3.67,,,,,,,
Clc1ccc2c(c1)Oc1ccccc1O2,,-5.8359,-3.1,,,,,,,
Clc1ccc2ccc(Cl)cc2c1,,-5.9217,,,,,,,,
Clc1ccc2cccc(Cl)c2c1,,-5.92,,,,,,,,
Clc1ccc2oc3ccc(Cl)cc3c2c1,,-7.2135,,,,,,,,
Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1,,-7.76,,,,,,,,
Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,,-8.6036,,,,,,,,
Clc1cccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c1Cl,,-8.48,,,,,,,,
Clc1cccc(-c2c(Cl)cc(Cl)cc2Cl)c1,,-7.1547,,,,,,,,
Clc1cccc(-c2c(Cl)ccc(Cl)c2Cl)c1Cl,,-6.7798,,,,,,,,
Clc1cccc(-c2cc(Cl)c(Cl)cc2Cl)c1,,-7.1299,,,,,,,,
Clc1cccc(-c2cc(Cl)ccc2Cl)c1,,-6.0077,,,,,,,,
Clc1cccc(-c2ccc(Cl)c(Cl)c2Cl)c1,,-6.77,,,,,,,,
Clc1cccc(-c2ccc(Cl)c(Cl)c2Cl)c1Cl,,-7.0502,,,,,,,,
Clc1cccc(-c2cccc(Cl)c2)c1,,-5.7983,,,,,,,,
Clc1cccc(-c2cccc(Cl)c2Cl)c1Cl,,-7.2722,,,,,,,,
Clc1cccc(-c2ccccc2)c1Cl,,-5.3498,,,,,,,,
Clc1cccc(Br)c1,,-3.2102,,,,,,,,
Clc1cccc(C(Cl)(Cl)Cl)n1,,-3.506108364,,,,,,,,
Clc1cccc(Cl)c1,,-3.0721598007,-0.98,,,,,,,
Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl,,-7.3898,-2.28,,,,,,,
Clc1cccc(Cl)c1-c1ccccc1,,-5.21,,,,,,,,
Clc1cccc(Cl)c1Cl,,-4.003482074,-1.24,,,,,,,
Clc1cccc(Cl)c1Oc1ccccc1,,-5.0605,,,,,,,,
Clc1cccc(I)c1,,-3.55,,,,,,,,
Clc1cccc(Oc2ccc(Cl)c(Cl)c2)c1,,-5.437,,,,,,,,
Clc1cccc(Oc2ccc(Cl)c(Cl)c2Cl)c1,,-7.09,,,,,,,,
Clc1cccc(Oc2ccccc2)c1,,-4.2107,,,,,,,,
Clc1cccc2c1Oc1ccccc1O2,,-5.7196,-3.52,,,,,,,
Clc1cccc2cccc(Cl)c12,,-5.7963,,,,,,,,
Clc1cccc2ccccc12,,-3.9706,,,,,,,,
Clc1ccccc1,,-2.4493202347,-1.12,,,,,,,
Clc1ccccc1-c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,,-8.0133,,,,,,,,
Clc1ccccc1-c1c(Cl)cc(Cl)c(Cl)c1Cl,,-7.4346,,,,,,,,
Clc1ccccc1-c1c(Cl)ccc(Cl)c1Cl,,-6.3001,,,,,,,,
Clc1ccccc1-c1c(Cl)cccc1Cl,,-5.9003,,,,,,,,
Clc1ccccc1-c1cc(Cl)c(Cl)c(Cl)c1,,-6.9069,,,,,,,,
Clc1ccccc1-c1cc(Cl)c(Cl)c(Cl)c1Cl,,-7.5226,,,,,,,,
Clc1ccccc1-c1ccc(Cl)c(Cl)c1Cl,,-6.8299,,,,,,,,
Clc1ccccc1-c1cccc(Cl)c1Cl,,-5.944,,,,,,,,
Clc1ccccc1-c1ccccc1,,-4.5917,-2.69,,,,,,,
Clc1ccccc1-c1ccccc1Cl,,-5.0813,,,,,,,,
Clc1ccccc1Br,,-3.2030000000000003,,,,,,,,
Clc1ccccc1C(Cl)(Cl)Cl,,-5.0439330965,,,,,,,,
Clc1ccccc1Cl,,-3.0533857998,-1.36,,,,,,,
Clc1ccccc1I,,-3.54,,,,,,,,
Clc1ccccn1,,-0.7541456686,-4.39,,,,,,,
Clc1cnc2ncncc2n1,,-0.87,,,,,,,,
Clc1nc(Cl)nc(Cl)n1,,-2.6223388564,,,,,,,,
Clc1nc2ccccc2s1,,-2.7325883752,,,,,,,,
Clc1ncc2nccnc2n1,,-0.71,,,,,,,,
Clc1ncnc2nc[nH]c12,,-1.4901,,,,,,,,
Cn1c(-c2ccccc2)c(C=CC2=[N+](C)c3ccccc3C2(C)C)c2ccccc21.[Cl-],,-1.743927996,,,,,,,,
Cn1c(=O)[nH]n(-c2ccccc2)c1=O,,-2.9804,,,,,,,,
Cn1c(=O)c2[nH]c(-c3ccccc3)nc2n(C)c1=O,,-5.0,,,,,,,,
Cn1c(=O)c2[nH]c(/C=C/c3ccccc3)nc2n(C)c1=O,,-6.66,,,,,,,,
Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O,,-1.5075,,,,,,,,
Cn1c(=O)c2c(n(C)c1=O)n(C)c(=O)n2C,,-0.9527,,,,,,,,
Cn1c(=O)c2c(nc(-c3ccccc3)n2C)n(C)c1=O,,-3.31,,,,,,,,
Cn1c(=O)c2c(nc(/C=C/c3ccccc3)n2C)n(C)c1=O,,-5.55,,,,,,,,
Cn1c(=O)c2c(ncn2CO)n(C)c1=O,,-0.41,,,,,,,,
Cn1c(=O)c2c(ncn2COC(=O)C(C)(C)C)n(C)c1=O,,-2.17,,,,,,,,
Cn1c(=O)c2n[se]nc2n(C)c1=O,,-2.2994,,,,,,,,
Cn1c(=O)c2nc3c(=O)n(C)c(=O)n(C)c3nc2n(C)c1=O,,-3.31,,,,,,,,
Cn1c(=O)c2ncnnc2n(C)c1=O,,-1.9849,,,,,,,,
Cn1c(=O)cc2c3c(c(Br)ccc31)C(=O)c1ccccc1-2,,-6.6804453214,,,,,,,,
Cn1c(=O)cnc2cncnc21,,-0.92,,,,,,,,
Cn1c(=O)ncc2[nH]c(=O)[nH]c21,,-0.794,,,,,,,,
Cn1c(=O)ncc2nccnc21,,-1.3713,,,,,,,,
Cn1c(=O)on(-c2ccc(Cl)c(Cl)c2)c1=O,,-2.82,,,,,,,,
Cn1c([N+](=O)[O-])cnc1COC(N)=O,,-1.8433,,,,,,,,
Cn1c2ccccc2c(=O)c2ccccc21,,-4.46,,,,,,,,
Cn1cc(C(N)=O)c(Nc2ccc(Br)cc2F)c(F)c1=O,,-4.14,,,,,,,,
Cn1cc(I)ccc1=O,,-0.0094,,,,,,,,
Cn1cc([N+](=O)[O-])c(=O)[nH]c1=O,,-1.9977,,,,,,,,
Cn1ccc(=O)[nH]c1=O,,-0.7998,,,,,,,,
Cn1ccc(=O)c2ccccc21,,-0.9818,,,,,,,,
Cn1ccc(NS(=O)(=O)c2ccc(N)cc2)nc1=O,,-2.36,,,,,,,,
Cn1ccnc1,,1.0856251051,-8.41,,,,,,,
Cn1cnc2[nH]c(=O)nc(NCCO)c21,,0.08,,,,,,,,
Cn1cnc2c(=O)n(C)c(=O)n(C)c2c1=O,,-1.985,,,,,,,,
Cn1cnc2c1c(=O)n(CC(=O)[O-])c(=O)n2C,,-1.3769,,,,,,,,
Cn1cnc2nc(Cl)nc(Cl)c21,,-1.1522,,,,,,,,
Cn1cnc2nc(Cl)nc(NN)c21,,-1.1427,,,,,,,,
Cn1cnc2nccnc2c1=O,,-1.07,,,,,,,,
Cn1cncc1CC(N)C(=O)O,,0.08,,,,,,,,
Cn1cncc1C[C@H](N)C(=O)O,,0.0727,,,,,,,,
Cn1nc(S(N)(=O)=O)sc1=NS(=O)(=O)C(F)(F)F,,-1.16,,,,,,,,
Cn1nc(S(N)(=O)=O)sc1=NS(=O)(=O)Cc1ccccc1,,-2.48,,,,,,,,
Cn1nc(S(N)(=O)=O)sc1=NS(=O)(=O)c1ccc(Br)cc1,,-2.51,,,,,,,,
Cn1nc(S(N)(=O)=O)sc1=NS(=O)(=O)c1ccc(F)cc1,,-2.03,,,,,,,,
Cn1nc(S(N)(=O)=O)sc1=NS(=O)(=O)c1ccc(I)cc1,,-2.77,,,,,,,,
Cn1nc(S(N)(=O)=O)sc1=NS(=O)(=O)c1ccc(N)cc1,,-2.5,,,,,,,,
Cn1nc(S(N)(=O)=O)sc1=NS(=O)(=O)c1cccc([N+](=O)[O-])c1,,-2.67,,,,,,,,
Cn1nc(S(N)(=O)=O)sc1=NS(=O)(=O)c1ccccc1C(=O)O,,-2.51,,,,,,,,
Cn1nc(S(N)(=O)=O)sc1=NS(=O)(=O)c1ccccc1[N+](=O)[O-],,-2.79,,,,,,,,
Cn1nc(S(N)(=O)=O)sc1=NS(C)(=O)=O,,-2.05,,,,,,,,
Cn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,,-3.48,,,,,,,,
Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)C(NC(=O)C(O)c3ccccc3)C2SC1,,-0.14,,,,,,,,
F.O=[Si]=O.[MgH2].[Na],,-0.8566651273999999,,,,,,,,
FC(Br)C(F)(F)F,,-1.901,,,,,,,,
FC(Cl)(Cl)C(F)(Cl)Cl,,-3.2301,,,,,,,,
FC(Cl)(Cl)CCl,,-3.04,,,,,,,,
FC(Cl)(Cl)Cl,,-2.0965,,,,,,,,
FC(Cl)C(F)(F)F,,-1.959,,,,,,,,
FC(Cl)Cl,,-0.7383,,,,,,,,
FC(F)(Br)C(F)(F)Br,,-4.9376,,,,,,,,
FC(F)(Cl)C(Cl)(Cl)Cl,,-3.3093,,,,,,,,
FC(F)(Cl)C(F)(Cl)Cl,,-3.0423,1.77,,,,,,,
FC(F)(Cl)C(F)(F)Cl,,-2.74,,,,,,,,
FC(F)(Cl)Cl,,-1.99,,,,,,,,
FC(F)(F)/C(=N/OCC1OCCO1)c1ccc(Cl)cc1,,-4.0138,,,,,,,,
FC(F)(F)Br,,-2.6677709688,1.79,,,,,,,
FC(F)(F)C(Cl)(Cl)Cl,,-4.3331923932,,,,,,,,
FC(F)(F)C(Cl)Br,,-1.7043,,,,,,,,
FC(F)(F)C(Cl)Cl,,-1.8623,,,,,,,,
FC(F)(F)C(F)(Cl)Cl,,-3.0961,,,,,,,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,,-7.3970339946,,,,,,,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,-7.6415256675,,,,,,,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,,-7.1886381337000005,,,,,,,,
FC(F)(F)C(F)(F)C(F)(F)F,,-4.518,,,,,,,,
FC(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,,-9.1359660934,,,,,,,,
FC(F)(F)C(F)(F)Cl,,-3.411,,,,,,,,
FC(F)(F)C(F)(F)F,,-2.4239072122,,,,,,,,
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C1(F)F,,-7.602120788300001,,,,,,,,
FC(F)(F)F,,-3.6703396281,3.12,,,,,,,
FC(F)(F)c1ccc(Cl)c(Cl)c1,,-3.2679824907,,,,,,,,
FC(F)(F)c1ccc(Cl)cc1,,-3.7276952246,,,,,,,,
FC(F)(F)c1cccc(C(c2ccccc2)(c2ccccc2)n2cncn2)c1,,-8.402999999999999,,,,,,,,
FC(F)(F)c1cccc(Cl)c1,,-3.4115138849,,,,,,,,
FC(F)(F)c1ccccc1,,-2.511,,,,,,,,
FC(F)(F)c1nc2c(Cl)c(Cl)ccc2[nH]1,,-3.5677,,,,,,,,
FC(F)(F)c1nc2ncncc2[nH]1,,-0.4505,,,,,,,,
FC(F)(I)C(F)(F)C(F)(F)C(F)(F)I,,-3.314476262,,,,,,,,
FC(F)=C(F)C(F)(F)F,,-2.8887982833,2.93,,,,,,,
FC(F)=C(F)Cl,,-2.1609542979,,,,,,,,
FC(F)=C(F)F,,-2.8001,,,,,,,,
FC(F)C(F)(F)F,,-1.4164957907,,,,,,,,
FC(F)CCl,,-0.9229632085,,,,,,,,
FC(F)Cl,,-1.4597341592,,,,,,,,
FC(F)F,,-1.2334,,,,,,,,
FC(F)OC(Cl)C(F)(F)F,,-1.6157,,,,,,,,
FC(F)OC(F)(F)C(F)Cl,,-1.5162,,,,,,,,
FC1CC(F)(F)C(F)(F)C1(F)F,,-2.436880918,,,,,,,,
FCC(F)(F)F,,-2.0087278867,,,,,,,,
FCCCl,,-0.5291,,,,,,,,
FCCl,,-0.8202,,,,,,,,
FCF,,-1.4374417919999998,,,,,,,,
F[B-](F)(F)F.F[B-](F)(F)F.F[N+]12CC[N+](CCl)(CC1)CC2,,-0.3038119023,,,,,,,,
F[B-](F)(F)F.[K+],,-1.3676388693,,,,,,,,
F[P-](F)(F)(F)(F)F.N#[N+]c1ccccc1,,-1.4438,,,,,,,,
Fc1cc(Br)cc(F)c1F,,-3.2102979357,,,,,,,,
Fc1cc(F)c(F)c(F)c1,,-2.3057,,,,,,,,
Fc1cc(F)c(F)cc1F,,-2.3757,,,,,,,,
Fc1ccc(-n2c[c-]cc2)c(F)c1.Fc1ccc(-n2c[c-]cc2)c(F)c1.[Ti+4].c1cc[cH-]c1.c1cc[cH-]c1,,-8.1257893916,,,,,,,,
Fc1ccc(C(c2ccc(F)cc2)[NH+]2CC[NH2+]CC2)cc1,,-2.8786010762,,,,,,,,
Fc1ccc(C(c2ccccc2)(c2ccccc2F)n2ccnc2)cc1,,-8.4,,,,,,,,
Fc1ccc(CCl)cc1,,-2.5442,,,,,,,,
Fc1ccc(F)cc1,,-1.9709,,,,,,,,
Fc1ccc(Oc2ccnc3cc(Cl)cc(Cl)c23)cc1,,-6.4243,,,,,,,,
Fc1ccc2c(c1)CC[C@@H]([C@@H]1CO1)O2.Fc1ccc2c(c1)CC[C@@H]([C@H]1CO1)O2.Fc1ccc2c(c1)CC[C@H]([C@@H]1CO1)O2.Fc1ccc2c(c1)CC[C@H]([C@H]1CO1)O2,,-3.0521011765,,,,,,,,
Fc1cccc(Br)c1,,-2.6656,,,,,,,,
Fc1cccc(CCl)c1,,-2.5436,,,,,,,,
Fc1cccc(Cl)c1,,-2.3457,,,,,,,,
Fc1cccc(F)c1,,-2.0003579549,,,,,,,,
Fc1cccc(F)c1C1SCc2nc3ccccc3n21,,-3.76,,,,,,,,
Fc1ccccc1,,-1.7924097659,-0.8,,,,,,,
Fc1ccccc1Br,,-2.6958,,,,,,,,
Fc1ccccc1CCl,,-2.541,,,,,,,,
Fc1ccccc1Cl,,-2.4157,,,,,,,,
Fc1ccccc1F,,-2.0,,,,,,,,
I/C=C/I,,-3.22,,,,,,,,
I/C=C\I,,-2.7813,,,,,,,,
IC(I)I,,-3.5952,,,,,,,,
IC=CI,,-3.22,,,,,,,,
ICC1CCC(CI)CC1,,-5.7481975718,,,,,,,,
ICI,,-2.3345,-2.49,,,,,,,
II,,-2.886,,,,,,,,
Ic1ccc(I)cc1,,-5.3723,,,,,,,,
Ic1ccc2c(c1)Sc1ccccc1N2,,-6.9278,,,,,,,,
Ic1cccc(I)c1,,-4.518,,,,,,,,
Ic1cccc2ccccc12,,-4.55,,,,,,,,
Ic1ccccc1,,-3.01,-1.74,,,,,,,
N,,1.4518068893,-4.29,,,,,,,
N#C/C(=N\OCC1OCCO1)c1ccccc1,,-4.0649,,,,,,,,
N#CC(=C1CCCCC1)c1ccccc1,,-4.4200239973,,,,,,,,
N#CC(Br)(Br)C(N)=O,,-1.2075,,,,,,,,
N#CC(C#N)=NNc1cccc(O)c1,,-2.95,,,,,,,,
N#CC(C#N)=NNc1ccccc1,,-3.36,,,,,,,,
N#CC(C#N)=NNc1ccccc1[N+](=O)[O-],,-3.93,,,,,,,,
N#CC(Cl)(Cl)Cl,,-2.168,,,,,,,,
N#CC(c1ccccc1)c1ccccc1,,-2.9437,,,,,,,,
N#CC1([NH+]2CCCCC2)CC[NH+](Cc2ccccc2)CC1,,-2.2459922106,,,,,,,,
N#CC1CCCC1=O,,-0.3567,,,,,,,,
N#CCC#N,,0.25,,,,,,,,
N#CCC(=O)Nc1ccccc1,,-2.7275,,,,,,,,
N#CCC(=O)O,,1.0702644103,,,,,,,,
N#CCC(=O)c1ccccc1Cl,,-2.1751395948,,,,,,,,
N#CCC(N)=O,,0.1893,,,,,,,,
N#CCCC#N,,0.1752408894,,,,,,,,
N#CCCCC#N,,1.0263,,,,,,,,
N#CCCCCC#N,,-0.1309124421,,,,,,,,
N#CCCCCCCC#N,,-1.0810922867,,,,,,,,
N#CCCCl,,-0.29,,,,,,,,
N#CCCN(CCC#N)C(CCC(=O)O)C(=O)O,,-0.2275,,,,,,,,
N#CCCN(CCC#N)C(Cc1ccc(O)cc1)C(=O)O,,-1.68,,,,,,,,
N#CCCN(CCC#N)CC(=O)O,,0.4578,,,,,,,,
N#CCCN(CCC#N)c1ccc(N=Nc2c(Cl)cc([N+](=O)[O-])cc2Cl)cc1,,-7.115252612100001,,,,,,,,
N#CCCN(CCC#N)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,,-4.281954413,,,,,,,,
N#CCCN(CCOC(=O)c1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2)cc1,,-7.1697361359,,,,,,,,
N#CCCNC(Cc1ccccc1)C(=O)O,,-1.49,,,,,,,,
N#CCCNCC(=O)O,,0.3237,,,,,,,,
N#CCCN[C@@H](CCC(=O)O)C(=O)O,,-1.3015,,,,,,,,
N#CCCO,,1.1483,,,,,,,,
N#CCCOCCN(CCC#N)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2)cc1,,-4.5937500267,,,,,,,,
N#CCCl,,-0.092,,,,,,,,
N#CCN(CC#N)CC#N,,-1.6475578342,,,,,,,,
N#CCN(CC#N)CCN(CC#N)CC#N,,-2.8204043469,,,,,,,,
N#CCO/N=C(\C#N)c1ccccc1,,-3.2899,,,,,,,,
N#CCc1ccc(Cl)cc1F,,-2.5939062498,,,,,,,,
N#CCc1ccccc1,,-3.0687460001,,,,,,,,
N#CI,,-0.6333,,,,,,,,
N#CN,,1.1245149893000002,,,,,,,,
N#CN.[Ca+2],,-0.4460963217,,,,,,,,
N#CN=C(N)N,,-0.3087,,,,,,,,
N#CN=C1NCCN1Cc1ccc(Cl)nc1,,-2.63,,,,,,,,
N#CNC(N)=S,,-0.0049,,,,,,,,
N#CS.N=C(N)N,,1.106488088,,,,,,,,
N#CSCC(CSC#N)SC#N,,-1.9351,,,,,,,,
N#CSCSc1nc2ccccc2s1,,-3.2803,,,,,,,,
